group,item,sentence,lexicon,quantifier,noun,condition,imga,imgb
D,5,The farmer accumulated many angers in Macau.,angers,QP,NMP,QP+NMP,img1.png,img2.png
D,6,The detective collected much fiber in Manaus.,fiber,QS,NM,QS+NM,img1.png,img2.png
D,7,The tourist found many covers in Boston.,covers,QP,NCP,QP+NCP,img1.png,img2.png
D,8,The woman noticed much beret in Paris.,benet,QS,NC,QS+NC,img1.png,img2.png
D,9,The maid cleanned many horsehairs in Dublin.,horsehairs,QP,NMP,QP+NMP,img1.png,img2.png
D,10,The researcher searched much flora in London.,flora,QS,NM,QS+NM,img1.png,img2.png
D,11,The beautician ordered many tables in Dallas.,tables,QP,NCP,QP+NCP,img1.png,img2.png
D,12,The student reported much saga in Berlin.,saga,QS,NC,QS+NC,img1.png,img2.png
D,13,The driver got many rainfalls in Praga.,rainfalls,QP,NMP,QP+NMP,img1.png,img2.png
D,14,The girl draw much forest in Denver.,forest,QS,NM,QS+NM,img1.png,img2.png
D,15,The man gathered many frames in Mumbai.,frames,QP,NCP,QP+NCP,img1.png,img2.png
D,16,The mechanic lost much tweezer in Moscou.,tweezer,QS,NC,QS+NC,img1.png,img2.png
